기간	자치구	계	계	계	자연공원	자연공원	자연공원	도시공원	도시공원	도시공원	도시공원	도시공원	도시공원	도시공원	도시공원	도시공원	도시공원	도시공원	도시공원	도시공원	도시공원	도시공원	도시공원	도시공원	도시공원	도시공원	도시공원	도시공원	도시공원	도시공원	도시공원	도시공원	도시공원	도시공원	기타공원	기타공원	기타공원
기간	자치구	계	계	계	자연공원	자연공원	자연공원	소계	소계	소계	어린이공원	어린이공원	소공원	소공원	근린공원	근린공원	근린공원	도시자연공원	도시자연공원	도시자연공원	묘지공원	묘지공원	문화공원	문화공원	체육공원	체육공원	역사공원	역사공원	수변공원	수변공원	생태공원	생태공원	가로공원	가로공원	기타공원	기타공원	기타공원
기간	자치구	공원수	(중복)	면적	공원수	(중복)	면적	공원수	(중복)	면적	공원수	면적	공원수	면적	공원수	(중복)	면적	공원수	(중복)	면적	공원수	면적	공원수	면적	공원수	면적	공원수	면적	공원수	면적	공원수	면적	공원수	면적	공원수	(중복)	면적
2015	용산구	101	1	1,796.9	-	-	-	65	1	784.4	23	45.1	28	41	8	1	627.5	-	-	-	-	-	1	43.4	-	-	3	23.9	-	-	-	-	2	3.5	36	-	1,012.5
2015	성동구	81	1	3,067.3	-	-	-	60	1	1,226.0	32	55.2	14	12.1	9	1	1,056.7	-	-	-	-	-	1	90.4	1	2.8	-	-	-	-	-	-	3	8.8	21	-	1,841.4
2015	광진구	56	2	3,396.2	-	-	-	42	1	2,950.0	35	38.4	5	6.5	1	-	560.6	-	1	2,307.1	-	-	-	-	-	-	1	37.4	-	-	-	-	-	-	14	1	446.1
2015	동대문구	99	1	1,281.1	-	-	-	83	1	1,039.0	44	85	25	34.6	12	1	913.1	-	-	-	-	-	-	-	-	-	1	3.9	-	-	-	-	1	2.4	16	-	242.1
2015	중랑구	104	-	5,233.0	-	-	-	68	-	5,051.7	46	64.3	10	20	10	-	1,334.0	1	-	2,800.6	1	832.8	-	-	-	-	-	-	-	-	-	-	-	-	36	-	181.3
2015	성북구	130	5	8,393.0	-	1	3,864.0	77	4	4,470.6	41	107.3	22	24.3	11	3	2,059.1	1	1	2,276.2	-	-	1	1.9	-	-	-	-	1	1.8	-	-	-	-	53	-	58.4
2015	강북구	83	1	14,337.6	1	-	11,899.0	63	1	2,280.2	44	76.1	13	10.3	3	-	2,049.7	-	1	129.4	-	-	3	14.7	-	-	-	-	-	-	-	-	-	-	19	-	158.4
2015	도봉구	80	2	10,069.6	-	1	8,703.0	52	1	1,151.2	39	50	9	12.3	2	1	1,003.6	-	-	-	-	-	-	-	1	33.8	-	-	-	-	1	51.5	-	-	28	-	215.4
2015	노원구	178	-	14,163.0	-	-	-	129	-	13,850.0	96	174	1	1.8	25	-	1,535.9	2	-	12,024.3	-	-	4	46.9	1	67.1	-	-	-	-	-	-	-	-	49	-	313
2015	은평구	136	3	13,999.6	-	1	7,663.0	99	2	6,230.0	47	92.8	23	41.1	24	1	2,690.5	2	1	3,340.3	-	-	3	65.3	-	-	-	-	-	-	-	-	-	-	37	-	106.7
