,관리번호,공원명,위도,경도,공원면적,자치구
8601,11530-00049,오류동 소공원,37.493631,126.842953,895.0,구로구
8602,11530-00050,연지소공원,37.482231,126.843491,431.0,구로구
8649,11530-00037,삭새어린이공원,37.496337,126.825012,2077.0,구로구
8650,11530-00038,수른어린이공원,37.497891,126.829601,332.0,구로구
8651,11530-00039,천왕근린공원(시),37.576299,126.832162,587860.0,구로구
8652,11530-00040,연지근린공원,37.479003,126.838689,44478.0,구로구
8653,11530-00041,버들어린이공원,37.481146,126.841975,6167.0,구로구
8654,11530-00042,천왕근린공원,37.476131,126.841125,33677.0,구로구
8659,11680-00129,역삼미소공원,,,576.0,강남구
9027,11680-00130,도곡햇살공원,,,558.5,강남구
9258,11680-00132,행복공원,,,2483.5,강남구
9621,11530-00032,개웅산근린공원,37.500374,126.848974,411972.0,구로구
9622,11530-00033,오동나무어린이공원,37.485594,126.838383,1815.0,구로구
9623,11530-00034,온수어린이공원,37.494631,126.817658,475.0,구로구
9624,11530-00035,와룡소공원,37.496736,126.820991,2500.0,구로구
9625,11530-00036,갈매소공원,37.496736,126.820991,3200.0,구로구
9627,11530-00007,구로리어린이공원,37.4904165,126.891578,7782.0,구로구
9628,11530-00008,솔길어린이공원,37.489254,126.880616,1999.0,구로구
9629,11530-00009,화원어린이공원,37.49791653,126.8804405,4544.0,구로구
9630,11530-00010,삼각어린이공원,37.501239,126.891969,2634.0,구로구
9631,11530-00011,구로근린공원,37.4974827818,126.8896026949,7901.0,구로구
9632,11530-00012,환경어린이공원,37.48502191,126.888408,528.0,구로구
9633,11530-00013,애경어린이공원,37.500156,126.884417,2996.0,구로구
9634,11530-00014,테크노근린공원,37.577985,126.950593,10482.0,구로구
9635,11530-00015,구로동(다울)소공원,37.492279,126.888217,243.0,구로구
9636,11530-00016,도레미어린이공원,37.508017,126.852322,326.0,구로구
9637,11530-00017,계남근린공원,37.505292,126.853069,158814.0,구로구
9638,11530-00018,고척근린공원,37.50658242,126.8532783,108120.0,구로구
9639,11530-00019,골목어린이공원,37.507017,126.853545,266.0,구로구
9640,11530-00020,능골어린이공원,37.506852,126.854254,357.0,구로구
9641,11530-00021,오금어린이공원,37.504948,126.866221,348.0,구로구
9642,11530-00022,덕의근린공원,37.577985,126.950593,5565.0,구로구
9643,11530-00023,현화소공원,37.489741,126.858768,720.0,구로구
9644,11530-00024,무궁화소공원,37.504867,126.858768,1166.0,구로구
9645,11530-00025,개웅어린이공원,37.489928,126.852866,1797.0,구로구
9646,11530-00026,소막골어린이공원,37.488486,126.852386,516.0,구로구
9647,11530-00027,절골어린이공원,37.482821,126.851652,369.0,구로구
9648,11530-00028,가린열어린이공원,37.500611,126.854191,333.0,구로구
9649,11530-00029,개봉소공원,37.499696,126.849376,3023.0,구로구
9650,11530-00030,개웅소공원,37.488094,126.854735,657.0,구로구
9651,11530-00031,온수근린공원,37.571952,126.963169,1097565.0,구로구
9677,11530-00003,신도림어린이공원,37.510678,126.888452,2292.0,구로구
9678,11530-00005,희망어린이공원,37.48703809,126.886243,911.0,구로구
9679,11530-00006,꿈마을어린이공원,37.487173,126.8901545,1609.0,구로구
9747,11290-00052,북한산,37.62301953,127.0060971,93472.9,성북구
9748,11290-00053,삼청,37.5931371,126.9871874,73.6,성북구
9773,11290-00043,길음2구역,37.60504961,127.022011,5207.4,성북구
9774,11290-00044,정릉동,37.61846189,127.0045308,5779.1,성북구
9775,11290-00045,자주바위,37.58287149,127.0178925,1519.3,성북구
9776,11290-00046,맑은소리,37.6108385,127.0245875,2549.1,성북구
9777,11290-00047,별빛누리,37.612095,126.985863,949.0,성북구
9778,11290-00048,돌이음,37.6093012,127.052577,1103.4,성북구
9779,11290-00049,도란도란,37.6093807,127.026312,426.0,성북구
9780,11290-00050,상길례,37.6196908,127.0431887,4090.2,성북구
9781,11290-00051,북악산,37.5931371,126.9871874,87616.5,성북구
9829,11500-00109,장미,37.556809,126.813805,1661.5,강서구
9874,11290-00030,옛시장,37.602273,127.033882,958.0,성북구
9875,11290-00031,늘푸른,37.607521,127.018009,1580.0,성북구
9876,11290-00032,아름,37.607521,127.018009,2167.0,성북구
9877,11290-00033,벌집,37.599625,127.038799,1788.0,성북구
9878,11290-00034,일신,37.599625,127.038799,950.0,성북구
9879,11290-00035,길음골,37.609589,127.018679,1244.0,성북구
9880,11290-00036,길섶,37.609589,127.018679,383.0,성북구
9881,11290-00037,잔월,37.604178,127.041001,481.0,성북구
