지역,연령별,성별,주관적 건강수준,걷기 실천,격렬한 신체활동 실천,긍정적 태도율(자연환경),주관적 스트레스 수준,우울감 경험률,중등도 신체활동 실천,체중조절 경험 여부,행복감 지수
중랑구,계,남,43.0,64.1,26.7,69.8,31.8,8.6,10.2,45.7,6.84
중랑구,계,여,35.8,57.4,16.9,64.4,32.3,13.8,7.5,65.7,6.81
중랑구,19~44,계,50.5,62.0,22.0,62.4,35.4,10.1,8.2,70.0,6.96
중랑구,19~44,남,52.9,69.0,30.8,68.3,35.5,7.0,9.3,55.8,7.01
중랑구,19~44,여,48.7,56.9,15.5,58.0,35.3,12.5,7.3,80.6,6.92
중랑구,45~64,계,33.7,58.2,24.2,69.0,31.9,12.5,8.4,59.1,6.8
중랑구,45~64,남,38.9,60.3,27.5,74.8,33.6,10.7,9.9,42.0,6.67
중랑구,45~64,여,30.4,56.9,22.1,65.2,30.9,13.7,7.4,70.1,6.89
중랑구,65~74,계,25.4,63.1,13.9,70.0,23.8,9.8,13.9,32.8,6.68
중랑구,65~74,남,26.0,58.0,14.0,63.3,20.0,4.0,18.0,30.0,6.8
중랑구,65~74,여,25.0,66.7,13.9,74.6,26.4,13.9,11.1,34.7,6.6
중랑구,75 이상,계,13.8,51.7,8.6,74.1,27.6,20.7,1.7,13.8,6.23
중랑구,75 이상,남,28.6,61.9,19.0,66.7,19.0,19.0,0.0,23.8,6.57
중랑구,75 이상,여,5.4,45.9,2.7,78.4,32.4,21.6,2.7,8.1,6.03
종로구,계,계,46.8,58.3,19.4,74.6,24.7,10.5,15.1,64.7,6.93
종로구,계,남,54.7,60.8,22.3,76.7,22.5,6.6,17.4,57.4,6.98
종로구,계,여,40.6,56.3,17.1,72.9,26.5,13.5,13.3,70.6,6.9
종로구,19~44,계,57.6,63.2,22.6,68.3,34.8,11.4,12.6,73.7,7.01
종로구,19~44,남,64.3,65.6,26.6,75.3,33.1,5.8,13.0,65.6,7.21
종로구,19~44,여,52.1,61.2,19.3,62.5,36.2,16.0,12.2,80.3,6.84
종로구,45~64,계,44.0,50.4,19.2,75.4,21.5,8.8,13.0,65.8,6.86
종로구,45~64,남,50.3,52.9,20.6,72.8,21.3,7.1,14.8,52.9,6.73
종로구,45~64,여,38.6,48.4,17.9,77.6,21.7,10.3,11.4,76.6,6.96
종로구,65~74,계,41.5,67.3,17.0,80.1,17.0,12.9,25.9,52.4,6.93
종로구,65~74,남,53.1,64.1,17.2,81.0,9.4,10.9,29.7,48.4,6.89
종로구,65~74,여,32.5,69.9,16.9,79.5,22.9,14.5,22.9,55.4,6.96
종로구,75 이상,계,25.6,54.4,12.2,85.6,11.1,8.9,15.6,46.7,6.93
종로구,75 이상,남,34.3,68.6,20.0,91.4,5.7,0.0,25.7,57.1,7.14
종로구,75 이상,여,20.0,45.5,7.3,81.8,14.5,14.5,9.1,40.0,6.8
은평구,계,계,44.5,50.1,15.5,76.4,29.3,7.2,6.3,55.6,6.71
은평구,계,남,49.0,52.0,19.5,76.9,30.7,4.3,7.9,47.5,6.69
은평구,계,여,41.1,48.6,12.5,76.1,28.2,9.3,5.1,61.7,6.72
은평구,19~44,계,55.4,49.9,17.7,74.9,38.8,6.1,6.9,63.6,6.75
은평구,19~44,남,58.2,53.7,23.2,75.9,36.7,4.0,10.2,54.8,6.88
은평구,19~44,여,53.3,47.0,13.5,74.1,40.4,7.8,4.3,70.4,6.65
은평구,45~64,계,42.5,45.5,16.9,77.1,25.3,7.1,6.5,58.2,6.65
은평구,45~64,남,47.1,42.1,19.3,78.3,31.4,4.3,5.0,46.4,6.47
은평구,45~64,여,38.9,48.1,15.1,76.2,20.7,9.2,7.6,67.0,6.79
은평구,65~74,계,29.6,63.9,12.0,76.4,20.4,11.1,5.6,38.9,6.61
은평구,65~74,남,32.7,67.3,12.2,77.6,22.4,8.2,8.2,36.7,6.45
은평구,65~74,여,27.1,61.0,11.9,75.4,18.6,13.6,3.4,40.7,6.74
은평구,75 이상,계,17.3,50.6,3.7,81.5,8.9,7.5,3.7,27.2,6.88
은평구,75 이상,남,28.6,64.3,10.7,75.0,3.6,0.0,7.1,25.0,7.04
은평구,75 이상,여,11.3,43.4,0.0,84.9,11.8,11.5,1.9,28.3,6.8
성북구,계,계,43.3,55.4,13.8,67.2,30.2,6.1,11.2,64.8,6.61
성북구,계,남,50.2,55.7,17.1,67.8,32.2,4.7,16.1,55.0,6.66
성북구,계,여,37.4,55.2,11.0,66.8,28.4,7.2,7.0,73.0,6.56
성북구,19~44,계,53.6,56.9,13.6,66.2,37.4,5.9,8.7,72.1,6.84
성북구,19~44,남,59.0,59.0,15.4,71.8,38.8,4.8,10.6,60.1,6.86
성북구,19~44,여,48.5,55.0,11.9,60.9,36.1,6.9,6.9,83.2,6.82
성북구,45~64,계,42.0,54.8,17.8,63.7,29.9,5.4,14.3,70.4,6.61
성북구,45~64,남,52.5,47.5,22.3,62.6,36.7,4.3,20.1,58.3,6.55
성북구,45~64,여,33.7,60.6,14.3,64.6,24.6,6.3,9.7,80.0,6.65
성북구,65~74,계,29.5,57.5,11.0,74.7,16.4,6.8,11.6,52.7,6.35
성북구,65~74,남,31.9,65.2,14.5,69.6,10.1,4.3,20.3,47.8,6.7
성북구,65~74,여,27.3,50.6,7.8,79.2,22.1,9.1,3.9,57.1,6.04
성북구,75 이상,계,20.8,45.8,2.8,73.6,19.4,8.3,9.7,25.0,5.89
성북구,75 이상,남,23.1,50.0,7.7,61.5,19.2,7.7,23.1,19.2,5.77
성북구,75 이상,여,19.6,43.5,0.0,80.4,19.6,8.7,2.2,28.3,5.96
서대문구,계,계,45.1,48.4,10.1,75.1,30.0,9.2,6.3,54.7,6.49
