지역,연령별,성별,1인당 연소득,주관적 건강수준,걷기 실천,격렬한 신체활동 실천,긍정적 태도율(자연환경),주관적 스트레스 수준,우울감 경험률,중등도 신체활동 실천,체중조절 경험 여부,행복감 지수
중랑구,45~64,계,2586.3,32.0,57.9,21.6,65.2,22.2,7.3,12.6,66.0,7.24
중랑구,45~64,남,2324.1,35.7,53.2,23.0,61.3,17.5,3.2,12.7,52.4,7.02
중랑구,45~64,여,2733.4,30.0,60.4,20.9,67.3,24.8,9.6,12.6,73.5,7.36
중랑구,65~74,계,1714.5,25.7,64.7,19.2,78.5,20.4,5.4,12.6,55.7,7.1
중랑구,65~74,남,1868.0,41.5,65.9,20.7,80.0,15.9,3.7,17.1,46.3,7.11
중랑구,65~74,여,1542.5,10.6,63.5,17.6,77.1,24.7,7.1,8.2,64.7,7.1
중랑구,75 이상,계,1488.2,20.5,56.8,6.8,73.5,22.7,8.1,6.8,27.3,7.35
중랑구,75 이상,남,1564.3,27.8,63.9,5.6,82.4,8.3,5.6,13.9,36.1,7.77
중랑구,75 이상,여,1433.8,15.4,51.9,7.7,67.3,32.7,10.0,1.9,21.2,7.04
종로구,계,계,2204.0,32.8,43.3,13.6,82.5,26.3,3.2,8.3,60.0,6.91
종로구,계,남,2219.7,33.5,47.5,15.8,83.5,24.6,2.7,9.9,53.7,6.95
종로구,계,여,2191.4,32.3,40.0,11.8,81.7,27.6,3.5,7.1,65.0,6.89
종로구,19~44,계,2267.3,41.2,49.8,17.5,78.7,33.7,4.8,7.6,68.0,7.0
종로구,19~44,남,2286.3,41.5,51.4,17.6,81.3,32.4,5.6,9.2,58.5,6.99
종로구,19~44,여,2248.9,40.9,48.3,17.4,76.4,34.9,4.0,6.0,77.2,7.02
종로구,45~64,계,2637.5,33.8,41.0,14.2,83.1,24.5,1.8,8.5,67.3,6.95
종로구,45~64,남,2596.7,31.2,42.9,17.1,84.6,22.9,0.6,9.4,58.2,6.89
종로구,45~64,여,2669.2,35.8,39.4,11.9,81.9,25.7,2.8,7.8,74.3,7.0
종로구,65~74,계,1529.7,21.4,48.2,14.3,80.4,22.3,0.9,10.7,50.9,6.57
종로구,65~74,남,1670.3,28.0,52.0,18.0,80.0,20.0,2.0,10.0,50.0,6.64
종로구,65~74,여,1416.2,16.1,45.2,11.3,80.6,24.2,0.0,11.3,51.6,6.52
종로구,75 이상,계,1309.4,20.3,30.9,1.6,91.8,17.9,5.7,7.3,26.0,6.88
종로구,75 이상,남,1180.9,22.7,47.7,2.3,90.7,11.4,2.3,13.6,25.0,7.36
종로구,75 이상,여,1381.0,19.0,21.5,1.3,92.4,21.5,7.6,3.8,26.6,6.61
은평구,계,계,1821.4,30.2,63.5,13.3,82.4,26.6,9.8,10.8,68.7,6.78
은평구,계,남,1814.2,36.7,65.0,17.8,85.9,23.8,6.7,15.1,60.4,6.86
은평구,계,여,1826.4,25.7,62.5,10.3,80.1,28.5,11.9,7.8,74.4,6.73
은평구,19~44,계,2196.9,43.9,72.0,21.0,81.9,31.7,8.9,10.3,76.4,7.03
은평구,19~44,남,2266.0,56.8,75.4,32.2,86.7,27.1,5.9,16.9,69.5,7.03
은평구,19~44,여,2143.7,34.0,69.3,12.4,78.3,35.3,11.1,5.2,81.7,7.02
은평구,45~64,계,2126.8,31.3,59.3,12.7,80.4,28.0,6.3,10.6,75.3,6.8
은평구,45~64,남,2052.7,31.4,59.1,10.9,80.6,25.5,5.1,13.1,62.8,6.96
은평구,45~64,여,2179.4,31.3,59.5,13.8,80.2,29.7,7.2,8.8,84.1,6.69
은평구,65~74,계,1233.9,21.8,61.5,12.4,83.8,22.3,12.8,13.6,61.5,6.56
은평구,65~74,남,1232.3,31.1,52.5,20.0,88.5,23.0,9.8,16.7,50.8,6.62
은평구,65~74,여,1234.8,16.9,66.1,8.5,81.4,22.0,14.4,12.0,66.9,6.52
은평구,75 이상,계,1090.4,10.5,59.4,0.8,86.9,18.2,16.5,8.3,46.6,6.52
은평구,75 이상,남,904.1,12.7,70.9,1.8,94.4,13.0,9.1,14.5,45.5,6.47
은평구,75 이상,여,1221.7,9.0,51.3,0.0,81.6,21.8,21.8,3.8,47.4,6.55
성북구,계,계,2151.3,36.9,59.4,14.6,79.9,26.5,7.6,11.9,62.5,6.84
성북구,계,남,2108.7,44.1,63.3,19.2,82.4,23.2,7.0,15.0,56.1,6.89
성북구,계,여,2184.4,31.2,56.4,11.0,78.0,29.1,8.1,9.5,67.4,6.81
성북구,19~44,계,2281.2,43.3,59.4,18.0,75.3,36.1,7.8,7.8,69.9,7.07
성북구,19~44,남,2207.3,48.7,64.3,21.6,76.8,33.1,8.4,9.1,64.9,7.12
성북구,19~44,여,2343.9,38.7,55.2,14.9,74.0,38.7,7.2,6.6,74.0,7.04
성북구,45~64,계,2404.6,38.9,60.5,16.4,80.9,21.0,7.3,15.8,69.3,7.02
성북구,45~64,남,2293.9,48.2,60.3,23.4,87.2,17.0,7.1,19.9,56.7,7.08
성북구,45~64,여,2489.2,31.9,60.6,11.2,76.1,23.9,7.4,12.8,78.7,6.98
성북구,65~74,계,1773.2,26.0,59.7,11.0,84.2,17.5,6.5,13.0,49.4,6.48
성북구,65~74,남,2012.1,30.2,66.7,14.3,84.1,15.9,3.2,19.0,42.9,6.49
성북구,65~74,여,1607.5,23.1,54.9,8.8,84.3,18.7,8.8,8.8,53.8,6.47
성북구,75 이상,계,1452.2,25.3,55.6,3.0,85.9,26.3,10.1,11.1,35.4,6.01
성북구,75 이상,남,1257.0,34.9,65.1,4.7,83.7,18.6,7.0,14.0,41.9,6.0
성북구,75 이상,여,1596.9,17.9,48.2,1.8,87.5,32.1,12.5,8.9,30.4,6.02
서대문구,계,계,1822.7,38.9,51.8,13.9,78.1,27.4,6.8,9.4,65.6,7.12
서대문구,계,남,1893.6,44.6,55.5,19.2,81.5,28.2,4.9,11.8,62.1,7.21
서대문구,계,여,1769.6,34.6,49.0,10.1,75.6,26.9,8.2,7.6,68.2,7.06
서대문구,19~44,계,2064.9,55.6,55.3,18.7,76.2,31.3,6.7,11.1,76.0,7.28
서대문구,19~44,남,1987.7,60.9,62.1,25.2,80.4,31.7,3.7,14.1,67.7,7.39
