,제공기관명,관리번호,공원명,공원구분,소재지지번주소,위도,경도,공원면적,지정고시일,데이터기준일자,시도,자치구
1354,서울특별시 강북구,11305-00020,고갯마루,어린이공원,서울특별시 강북구 삼각산동 811-13,37.617067,127.017399,2185.8,2006-10-09,2020-09-01,서울특별시,강북구
1355,서울특별시 강북구,11305-00021,미 아,어린이공원,서울특별시 강북구 송중동 8-73,37.615502,127.037587,992.0,,2020-09-01,서울특별시,강북구
1356,서울특별시 강북구,11305-00022,강북6구역,소공원,서울특별시 강북구 송중동 71-1,37.613866,127.030491,424.4,,2020-09-01,서울특별시,강북구
1357,서울특별시 강북구,11305-00023,번 남,어린이공원,서울특별시 강북구 번1동 447-1,37.636018,127.024953,1014.9,1965-11-08,2020-09-01,서울특별시,강북구
1358,서울특별시 강북구,11305-00024,논 골,어린이공원,서울특별시 강북구 번1동 417-27,37.638634,127.027973,991.7,1965-11-08,2020-09-01,서울특별시,강북구
1359,서울특별시 강북구,11305-00025,샛 강,어린이공원,서울특별시 강북구 번1동 472-44,37.639482,127.033005,858.2,1971-08-06,2020-09-01,서울특별시,강북구
1360,서울특별시 강북구,11305-00026,오동근린공원,근린공원,서울특별시 강북구 번동 산20-1,37.62923217,127.0330423,1346557.0,1982-09-20,2020-09-01,서울특별시,강북구
1361,서울특별시 강북구,11305-00010,청 암,어린이공원,서울특별시 강북구 삼양동 776-17,37.624364,127.017047,661.0,1972-04-25,2020-09-01,서울특별시,강북구
1362,서울특별시 강북구,11305-00032,흰구름,어린이공원,서울특별시 강북구 수유2동 252-19,37.645866,127.020635,1064.0,1965-07-08,2020-09-01,서울특별시,강북구
1363,서울특별시 강북구,11305-00033,희 망,어린이공원,서울특별시 강북구 수유3동 194-41,37.640764,127.024431,976.9,1965-11-08,2020-09-01,서울특별시,강북구
1364,서울특별시 강북구,11305-00034,은모루,어린이공원,서울특별시 강북구 수유3동 172-209,37.642612,127.026714,918.0,1965-11-08,2020-09-01,서울특별시,강북구
1365,서울특별시 강북구,11305-00035,소 귀,어린이공원,서울특별시 강북구 수유3동 25-1,37.638742,127.018697,961.0,1965-11-08,2020-09-01,서울특별시,강북구
1366,서울특별시 강북구,11305-00036,상산,어린이공원,서울특별시 강북구 수유3동 224-4,37.638514,127.023986,972.9,1965-11-08,2020-09-01,서울특별시,강북구
1367,서울특별시 강북구,11305-00037,흰구름,소공원,서울특별시 강북구 수유2동 252-16,37.645951,127.020465,214.0,1990-06-08,2020-09-01,서울특별시,강북구
1368,서울특별시 강북구,11305-00038,보등골,어린이공원,서울특별시 강북구 인수동 605-209,37.635202,127.018417,869.0,1999-02-19,2020-09-01,서울특별시,강북구
1369,서울특별시 강북구,11305-00039,수유일공원,어린이공원,서울특별시 강북구 수유1동 605-389,37.630852,127.017011,2632.0,2005-09-15,2020-09-01,서울특별시,강북구
1370,서울특별시 강북구,11305-00040,새 싹,어린이공원,서울특별시 강북구 수유3동 134-40,37.636307,,651.0,,2020-09-01,서울특별시,강북구
1371,서울특별시 강북구,11305-00041,푸 른,어린이공원,서울특별시 강북구 인수동 516-44,37.638686,127.008423,992.0,,2020-09-01,서울특별시,강북구
1372,서울특별시 강북구,11305-00042,무너미,어린이공원,서울특별시 강북구 수유동 281-2,37.6460666,127.0127415,380.0,,2020-09-01,서울특별시,강북구
1373,서울특별시 강북구,11305-00043,빨래골,어린이공원,서울특별시 강북구 수유1동 475-115,37.629534,127.014863,476.0,,2020-09-01,서울특별시,강북구
1374,서울특별시 강북구,11305-00044,장미원,어린이공원,서울특별시 강북구 수유2동 276-10,37.646688,127.015689,340.0,,2020-09-01,서울특별시,강북구
1375,서울특별시 강북구,11305-00045,솔밭근린공원,근린공원,서울특별시 강북구 우이동 80,37.65301305,127.012249,34955.0,1996-10-18,2020-09-01,서울특별시,강북구
1380,서울특별시 강북구,11305-00030,오 현,어린이공원,서울특별시 강북구 번3동 244,37.623976,127.046488,3661.0,1988-12-30,2020-09-01,서울특별시,강북구
1381,서울특별시 강북구,11305-00031,색 동,어린이공원,서울특별시 강북구 수유1동 49-7,37.633443,,2341.2,1964-10-16,2020-09-01,서울특별시,강북구
1964,서울특별시 강서구,11500-00067,능골,어린이공원,서울특별시 강서구 화곡동468-1,37.536695,126.855316,997.2,,2021-03-22,서울특별시,강서구
2096,서울특별시 강서구,11500-00037,코끼리,어린이공원,서울특별시 강서구 등촌동 702-1,37.563238,126.848535,1594.5,,2021-03-22,서울특별시,강서구
2097,서울특별시 강서구,11500-00038,구름,어린이공원,서울특별시 강서구 화곡동 98-22,37.543303,126.844116,833.0,,2021-03-22,서울특별시,강서구
2098,서울특별시 강서구,11500-00039,볏골,어린이공원,서울특별시 강서구 화곡동 98-99,37.541815,126.844354,4219.0,,2021-03-22,서울특별시,강서구
2099,서울특별시 강서구,11500-00040,노을,어린이공원,서울특별시 강서구 화곡동 105-194,37.539908,126.843928,1031.0,,2021-03-22,서울특별시,강서구
2100,서울특별시 강서구,11500-00041,까치산,어린이공원,서울특별시 강서구 화곡동 102-206,37.538365,126.844436,1805.0,,2021-03-22,서울특별시,강서구
2101,서울특별시 강서구,11500-00042,비둘기,어린이공원,서울특별시 강서구 화곡동 61-96,37.541392,126.846938,1086.0,,2021-03-22,서울특별시,강서구
2102,서울특별시 강서구,11500-00043,큰별,어린이공원,서울특별시 강서구 화곡동 46-41,37.544538,126.848941,1067.0,,2021-03-22,서울특별시,강서구
2103,서울특별시 강서구,11500-00044,꿈돌이,어린이공원,서울특별시 강서구 화곡동 24-128,37.546097,126.845352,1507.0,,2021-03-22,서울특별시,강서구
2104,서울특별시 강서구,11500-00045,소나무,어린이공원,서울특별시 강서구 화곡동 29-31,37.547141,126.847807,942.0,,2021-03-22,서울특별시,강서구
2105,서울특별시 강서구,11500-00046,산새,어린이공원,서울특별시 강서구 화곡동 772,37.546321,126.850461,539.0,,2021-03-22,서울특별시,강서구
2106,서울특별시 강서구,11500-00047,박장,어린이공원,서울특별시 강서구 화곡동 56-25,37.540768,126.849087,929.0,,2021-03-22,서울특별시,강서구
2107,서울특별시 강서구,11500-00048,참새,어린이공원,서울특별시 강서구 화곡동 56-638,37.539725,126.847003,256.0,,2021-03-22,서울특별시,강서구
2108,서울특별시 강서구,11500-00049,한글,어린이공원,서울특별시 강서구 화곡동 56-3,37.538536,126.850451,965.0,,2021-03-22,서울특별시,강서구
2109,서울특별시 강서구,11500-00050,효심,어린이공원,서울특별시 강서구 화곡동 922-10,37.529643,126.840748,1056.5,,2021-03-22,서울특별시,강서구
2110,서울특별시 강서구,11500-00051,버들,어린이공원,서울특별시 강서구 화곡동 424-45,37.531101,126.841222,1087.2,,2021-03-22,서울특별시,강서구
